Timestamp,Стадия бизнеса,Преимущества,Комментарий,Подход,ОПФ,Ключевое сообщение,Пол,Описание предложения,Поколение,Отрасль,Психотип,Персонализированное сообщение,Модель,Откорректированное сообщение,Адаптированное сообщение
1727193019.0,,Кредитная бизнес-карта участвует в акциях банка и партнёров,,Призыв к действию,,Повышенный льготный период при покупках у партнёров банка — до 365 дней и бесплатное годовое обслуживание кредитной бизнес-карты,,Кредитная бизнес-карта для предпринимателей. Лимит — до 1 000 000 рублей. Стандартный льготный период без начисления процентов за покупки — 120 дней. Оформление онлайн — по заявке в интернет-банке СберБизнес.,,,Центрист,"Оформите кредитную бизнес-карту онлайн и получите лимит до 1 000 000 рублей! Вам предоставляется повышенный льготный период при покупках у партнёров банка — до 365 дней, а также бесплатное годовое обслуживание.

------
Количество знаков: 210",Meta-Llama-3.1-405B,,
1727192712.0,,Кредитная бизнес-карта участвует в акциях банка и партнёров,"Предприниматели, получите кредитную бизнес-карту  - обращение к клиенту",Призыв к действию,,Повышенный льготный период при покупках у партнёров банка — до 365 дней и бесплатное годовое обслуживание кредитной бизнес-карты,,Кредитная бизнес-карта для предпринимателей. Лимит — до 1 000 000 рублей. Стандартный льготный период без начисления процентов за покупки — 120 дней. Оформление онлайн — по заявке в интернет-банке СберБизнес.,,,Центрист,"Предприниматели, получите кредитную бизнес-карту от нашего банка с лимитом до 1 000 000 рублей и льготным периодом без начисления процентов за покупки — 120 дней. Ваш комфорт и удобство — наш приоритет.

------
Количество знаков: 202",GigaChat-Pro,,
1727192021.0,,Кредитная бизнес-карта участвует в акциях банка и партнёров,,Вопрос,,Повышенный льготный период при покупках у партнёров банка — до 365 дней и бесплатное годовое обслуживание кредитной бизнес-карты,,Кредитная бизнес-карта для предпринимателей. Лимит — до 1 000 000 рублей. Стандартный льготный период без начисления процентов за покупки — 120 дней. Оформление онлайн — по заявке в интернет-банке СберБизнес.,Z,,,"Хочешь не платить проценты целый год? Наша кредитная бизнес-карта предлагает льготный период до 365 дней при покупках у партнёров банка! А стандартный льготный период — целых 120 дней. И всё это с бесплатным годовым обслуживанием!

------
Количество знаков: 230",Meta-Llama-3.1-405B,,
1727191997.0,,Кредитная бизнес-карта участвует в акциях банка и партнёров,,Вопрос,,Повышенный льготный период при покупках у партнёров банка — до 365 дней и бесплатное годовое обслуживание кредитной бизнес-карты,,Кредитная бизнес-карта для предпринимателей. Лимит — до 1 000 000 рублей. Стандартный льготный период без начисления процентов за покупки — 120 дней. Оформление онлайн — по заявке в интернет-банке СберБизнес.,Z,,,"Хочешь кредитную бизнес-карту с лимитом до миллиона рублей и льготным периодом 120 дней без процентов? И это еще не все! У нас также есть специальные акции от наших партнеров и банка. Закажи свою карту сегодня и получи все эти преимущества бесплатно!

------
Количество знаков: 250",GigaChat-Pro,,
1727190345.0,,Кредитная бизнес-карта участвует в акциях банка и партнёров,,Призыв к действию,ООО,Повышенный льготный период при покупках у партнёров банка — до 365 дней и бесплатное годовое обслуживание кредитной бизнес-карты,,Кредитная бизнес-карта для предпринимателей. Лимит — до 1 000 000 рублей. Стандартный льготный период без начисления процентов за покупки — 120 дней. Оформление онлайн — по заявке в интернет-банке СберБизнес.,,,,"Получите кредитную бизнес-карту с лимитом до 1 000 000 рублей и стандартным льготным периодом без начисления процентов за покупки — 120 дней! Оформление онлайн — по заявке в интернет-банке СберБизнес.

------
Количество знаков: 200",GigaChat-Lite,,
1727185491.0,,Предложение по бесплатному обслуживанию — бессрочное.,,Призыв к действию,ИП,Бесплатное обслуживание при покупках от 100 000 рублей в месяц.,,"Необходимо предложить клиенту оформить дебетовую премиальную бизнес-карту Mastercard Preffered. Обслуживание карты стоит 700 рублей в месяц, но клиент может пользоваться ей бесплатно. Что необходимо сделать, чтобы воспользоваться предложением:
1. Оформить премиальную бизнес-карту в офисе банка или онлайн в интернет-банке СберБизнес.
2. Забрать карту.
3. В течение календарного месяца совершить по ней покупки на сумму от 100 000 рублей.
4. В течение следующего месяца пользоваться ей бесплатно.",,,,"Оформите премиальную бизнес-карту Mastercard Preferred! Бесплатное обслуживание при покупках от 100 000 руб. в месяц. Простота расчетов и выгодные условия для ИП. Оформляйте онлайн в СберБизнес или в офисе.

------
Количество знаков: 206",GPT-4o,,
1727185400.0,,Предложение по бесплатному обслуживанию — бессрочное.,,Призыв к действию,ИП,Бесплатное обслуживание при покупках от 100 000 рублей в месяц.,,"Необходимо предложить клиенту оформить дебетовую премиальную бизнес-карту Mastercard Preffered. Обслуживание карты стоит 700 рублей в месяц, но клиент может пользоваться ей бесплатно. Что необходимо сделать, чтобы воспользоваться предложением:
1. Оформить премиальную бизнес-карту в офисе банка или онлайн в интернет-банке СберБизнес.
2. Забрать карту.
3. В течение календарного месяца совершить по ней покупки на сумму от 100 000 рублей.
4. В течение следующего месяца пользоваться ей бесплатно.",,,,"Оформите бизнес-карту Mastercard Preffered и получите бесплатное обслуживание при покупках от 100 000 рублей в месяц! Никаких скрытых комиссий и безлимитные возможности для вашего бизнеса.

------
Количество знаков: 188",GigaChat-Pro,,
1727184058.0,,Мгновенные переводы на карты любых банков.,,Призыв к действию,,Бесплатное обслуживание при покупках от 100 000 рублей в месяц.,Мужской,"Необходимо предложить клиенту оформить дебетовую премиальную бизнес-карту Mastercard Preffered. Обслуживание карты стоит 700 рублей в месяц, но клиент может пользоваться ей бесплатно. Что необходимо сделать, чтобы воспользоваться предложением:
1. Оформить премиальную бизнес-карту в офисе банка или онлайн в интернет-банке СберБизнес.
2. Забрать карту.
3. В течение календарного месяца совершить по ней покупки на сумму от 100 000 рублей.
4. В течение следующего месяца пользоваться ей бесплатно.",,,,"Оформите премиальную карту Mastercard Preferred. Бесплатное обслуживание при ежемесячных покупках от 100 000 рублей. Подключите мгновенные переводы на карты любых банков. Для оформления обратитесь в офис или воспользуйтесь онлайн-услугами СберБизнес.

------
Количество знаков: 250",GPT-4o,,
1727183965.0,,Мгновенные переводы на карты любых банков.,отсутствует призыв к действию,Призыв к действию,,Бесплатное обслуживание при покупках от 100 000 рублей в месяц.,Мужской,"Необходимо предложить клиенту оформить дебетовую премиальную бизнес-карту Mastercard Preffered. Обслуживание карты стоит 700 рублей в месяц, но клиент может пользоваться ей бесплатно. Что необходимо сделать, чтобы воспользоваться предложением:
1. Оформить премиальную бизнес-карту в офисе банка или онлайн в интернет-банке СберБизнес.
2. Забрать карту.
3. В течение календарного месяца совершить по ней покупки на сумму от 100 000 рублей.
4. В течение следующего месяца пользоваться ей бесплатно.",,,,"Предлагаем вам оформить премиальную бизнес-карту Mastercard Preffered. При покупках от 100 000 рублей в месяц обслуживание будет бесплатным. Удобные переводы на любые карты доступны уже сегодня!

------
Количество знаков: 194",GigaChat-Pro,,
1727176772.0,,Подключение без визита в банка,зарплату сотрудникам - 2 существительных подряд,Указание на пользу,,"Зачисление зарплаты сотрудникам от 1 минуты 24/7, подключение без визита в банк",Мужской,"Зарплатный проект для предпринимателей. Позволяет зачислять зарплату, отпускные, компенсации и другие виды выплат в любой день. Подключение — по заявке в интернет-банке СберБизнес.",,,,"Зачисляйте зарплату сотрудникам за 1 минуту круглосуточно 24/7. Подключите зарплатный проект онлайн без визитов в банк.

------
Количество знаков: 119",GPT-4o,,
